leg_state	leg_chamber	leg_party	leg_gender	leg_latino	leg_native	leg_arab	leg_asian	leg_white	leg_black	leg_nonblackminority	treat_out	outcitiesisausedoutcity	code_some_response_given	totalpop	whitepop	blackpop	nativepop	asianpop	islanderp	otherrace	hispanicp	totalhouses	urbanhouses	ruralhousing	medianhhincom	black_medianhh	latino_medianhh	white_medianhh	blackpercent	statessquireindex	blackvotingpe	nonblackvotin	district_overallturnout	census_district_blackpercent	demvotepercent	nonblacknonwhite	urbanpercent	leg_senator	keepthis	leg_democrat	south	chamber	dist_from_dist_to_out	helpful
"AL"	"U"	"R"	"M"	0	0	0	0	1	0	0	1	0	1	13.344	118442	6677	502	3665	75	366	3713	58576	58158	418	6.0316	2.5216	20410	3.5304	0.05003747	0.071	0.868354	0.5517935	0.5676334	0.05003747	0.22255315	0.0	0.9928639	1.0	1.0	0.0	1.0	"U"	2.0602274	1.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	4.3892	41456	1270	302	107	19	52	686	20202	2078	18124	2.7547	0.9041	8918	1.554	0.028934658	0.071	0.3094488	0.39345878	0.391028	0.028934658	0.64052695	0.0	0.10286111	0.0	1.0	1.0	1.0	"L"	2.4119413	0.0
"AL"	"L"	"D"	"F"	0	0	0	0	0	1	0	0	0	0	4.3327	13578	27802	487	454	73	133	800	17728	17295	433	3.2206	1.3697	8591	2.0522	0.6416784	0.071	0.54398966	0.3031884	0.45770535	0.6416784	1.0	0.0	0.9755754	0.0	1.0	1.0	1.0	"L"	2.9787545	0.0
"AL"	"L"	"R"	"M"	0	0	0	0	1	0	0	0	0	0	4.2898	39322	941	484	1450	48	82	571	18072	17265	807	6.8855	3.121	25604	3.7233	0.021935755	0.071	0.7321998	0.6662059	0.6676535	0.021935755	0.0	0.0	0.95534533	0.0	1.0	0.0	1.0	"L"	2.9523833	0.0
"AL"	"U"	"D"	"F"	0	0	0	0	0	1	0	1	0	0	12.2916	39982	79756	613	515	94	167	1789	51861	51541	320	3.1173	1.3995	11202	1.9902	0.6488659	0.071	0.47957522	0.23760426	0.39461094	0.6488659	0.79647744	0.0	0.99382967	1.0	1.0	1.0	1.0	"U"	2.1743367	0.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	0	0	1	4.3601	29335	11781	732	535	43	120	1055	20279	18376	1903	3.1263	1.1548	8790	2.2547	0.27020022	0.071	0.41100076	0.44629163	0.43675604	0.27020022	0.61094314	0.0	0.90615916	0.0	1.0	1.0	1.0	"L"	3.0025842	1.0
"AL"	"U"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	12.2606	88268	30500	730	1157	58	260	1633	52380	25787	26593	3.2745	1.2078	11247	1.8876	0.24876434	0.071	0.4752459	0.46683168	0.46892485	0.24876434	0.6942798	0.0	0.4923062	1.0	1.0	1.0	1.0	"U"	1.691556	0.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	0	0	0	4.3383	39265	2006	1348	143	20	55	546	17482	1191	16291	3.7469	1.4273	9614	1.7594	0.04623931	0.071	0.64805585	0.4589023	0.46764863	0.04623931	1.0	0.0	0.068127215	0.0	1.0	1.0	1.0	"L"	3.0212367	0.0
"AL"	"L"	"D"	"M"	0	0	0	0	1	0	0	1	0	0	4.4492	40401	1912	1401	164	14	56	544	19742	5918	13824	3.1498	1.2018	10076	1.6858	0.042974018	0.071	0.41474897	0.38518083	0.38645148	0.042974018	1.0	0.0	0.299767	0.0	1.0	1.0	1.0	"L"	3.1119368	0.0
"AL"	"L"	"R"	"M"	0	0	0	0	1	0	0	0	0	0	4.5005	40883	729	824	126	25	37	2381	19489	3193	16296	3.0949	1.538	8322	1.6981	0.0161982	0.071	0.3319616	0.3922441	0.39126763	0.016198201	0.0	0.0	0.16383602	0.0	1.0	0.0	1.0	"L"	3.0532477	0.0
